		lágyszárúaknál és fáknál				többnyire lágyszárúaknál			csak fáknál				hasonló növény										
Madárcseresznye	Cerasus avium	bog	tojásdad	fűrészes	nyeles		fehér		sima	szürke	csonthéjas	Közép és Dél-Európában őshonos vadgyümölcs. Szinte az összes középhegységünkben előfordul mint lombos erdők jellegzetes elegyfafaja. A leggyakoribb őshonos vadgyümölcsünk. Kérge szürke színű, sima felületű. Az elhalt kéreglemezek szalagokban válnak le a törzsről. A törzs felületén gyakran találunk borostyán színű gyantakifolyásokat. Levele tojásdad alakú, és fűrészes szélű, levélnyelén két piros színű mirigy található. Virágai, hasomlóan a többi rózsaféléhez, fehér színűek és 5 tagúak. A portokok színe minden esetben sárga, ez alapján könnyen elkülöníthetjük a hozzá hasonló vadkörtétől, cseresznyeszilvától. Termését már félig értetten is lecsipegetik a madarak, így az ember ritkán lakik vele jól. Fája értékes, belsőépítészeti elemeket, bútorokat készítenek belőle. Latin nemzetségneve régen Prunus volt, viszont ezt a nemzetséget felosztották, és a madárcseresznye önálló nemzetséget kapott.											
Madárfészek kosbor	Neottia nidus-avis	füzér	pikkely		tőálló	kosbor	barna	hengeres				Az árnyas erdőtalajon nem egyszerű észrevenni, de még közelről nézve is elszáradt növénynek tűnik sárgásbarna színével. 20-40 cm magas. Szára egyenes felálló, viasz szerű. Vékony, pergamenre emlékeztető pikkelylevelek borítják, amelyeket alig lehet megkülönböztetni a szártól, mivel színük megegyezik. Szórtan állnak, és teljesen a szárhoz simulnak. Virágai 10-30 tagú fürtben állnak. A virágok 9-15 mm nagyságúak, sárgásbarna színűek. A mézajak két karéjú, a karéjok széthajlók, a mézajak alapja kiöblösödő. A leplek egy árnylattal sötétebbek. Sarkantyúja nincs. Május- június hónapokban virágzik nyirkos, árnyékos lomberdőkben (gyertyános-tölgyes, bükkös). Termése tok, amely igen nagy számú lisztfinomságú magot rejt. Érdekessége, hogy szaprofiton (korhadéklakó). Ez nem azt jelenti hogy élősködő, hiszen a tápanyagfelvételt (amelyet más növények a klorofill segítségével állítanak elő) a gyökerén élő gombafajok segítik Néha a talajban virágzik. Védett, természetvédelmi értéke: 5000 Ft.											
Madárkeserűfű	Polygonum aviculare	magányos	elliptikus	ép	ülő	egyedi*	fehér	hengeres				Hazánkban több keserűfű-faj is él, a madárkeserűfű talán a legjellegtelenebb, egyszerű, alig észrevehető növényke. Latin nevében felfedezhető a madár (Avis) szó. Vékony szára hengeres, a földön kúszik. Akár fél méteres hosszúságot is elérhet, és nagy területet beboríthat. Apró, elliptikus vagy kerekded levelei ép szélűek, szórtan helyezkednek el, nyél nélküliek. A levelek hónaljában nyílnak a virágok, melyek aprók, zöldes fehérek, szélük rózsaszín. Többnyire magányosak, ritkán többesével ülnek. Június és október között virágzik. Taposást tűrő, sőt kedvelő gyomnövény.											
Magas aranyvessző	Solidago gigantea	fürt	lándzsás	fűrészes	ülő	fészek	sárga	hengeres				Úgynevezett invazív faj-nem őshonos, betelepítés során került Hazánkba. Igen gyorsan, agresszívan terjed, ahol megtelepszik, zárt állományával kiszorít más növényeket. Akár másfél méter magasra is megnő, felálló szára egyenes, hengeres, nem ágazik el. Levelei lándzsa alakúak, fűrészes szélűek, dúsan borítják a szárat. Apró sárga virágai dús, tömött, féloldalra elhajló fürtben nyílnak. Termése fehér szőrbóbitás kaszat. Június-júliusban virágzik, nedves, üde talajokon, patakok partján, ártereken, réteken. Bár szép növény, igen gyors terjedésével veszélyezteti az őshonos fajokat, melyeket teljesen visszaszorítja őket eredeti élőhelyükön, miközben elfoglalja azt.											
Magas borsó	Pisum elatius	fejecske	elliptikus	ép	átnőtt	pillangós	lila	hengeres				Minden bizonnyal a kertekben is ültetett borsó fajták őse. Hazánkban nem őshonos, Dél-Európai jövevényként tartják számon. Egyéves növény, elsősorban szántóföldi gyomnövényként tartják számon, azonban nagyriktán a kertekben ültetett borsó között is megjelenhet. Nemzetségének egyetlen hazánkban is előforduló képviselője, egyedül a takarmányborsóra hasonlít, azonban annak rendszerint világossárga - fehér színű a virága valamint a virágkocsánya is jóval rövidebb mint a pálhalevelek. A magas borsó szára gyakran bokrosodik, általában felálló, ritkábban elfekvő. Virágának kocsánya hosszú, hüvelytermése viszont apróbb mint a termesztett borsóé.											
Magas csukóka	Scutellaria altissima	fürt	lándzsás	fűrészes	nyeles	ajakos	fehér	szögletes				Az ajakosvirágúaknak több jellegzetessége is van, például az egy szimmetriasíkú zigomorf virágok, a túlnyomórészt szögletes szár, illóolaj tartalom. Sok gyógy- és fűszernövény van köztük (pl. kakukkfű). A csukókák nemzetsége könnyen felismerhető az ajakosak családján belül. A magas csukóka szögletes szára felálló. A lándzsa alakú levelek széle fűrészes, rövid nyéllel kapcsolódnak a szárhoz, kettesével állnak (keresztben átellenesek). A levelek hónapjában, egy oldalra néző fürtben, kettesével nyílnak a karcsú, hosszú torkú virágok. Rövid kocsányuk van, a csészelevelek majdnem gömb alakot formálnak. A virágok alsó ajka fehér vagy nagyon halványlila, a felső ajak sötétebb lila. Június-júliusban virágzik üde erdőkben, patakok partján.											
Magas kőris	Fraxinus excelsior	buga	szárnyalt	fűrészes	nyeles		fehér		repedezett	szürke	lependék	Egész Európában és a Kaukázusban is őshonos fafaj. Hazánkban a középhegységekben gyakori. Koromfekete, keresztben átellenes rügyeiről még télen is könnyen felismerhető. Levelei páratlanul szárnyaltak, 9-13 levélkéből állnak. A levélkék széle fűrészes. Virágai lombfakadás előtt nyílnak, jellegtelenek, a Szilek virágzatára hasonlít. Termése gyakran csavarodott lependék. Fája ipari felhasználásra is alkalmas, régen szerszámnyelek készítésére használták. A kertészetek csüngő ágú kőrisei mind ennek a fajnak a nemesített példányai. Ritkábban az alapfajtól eltérő levélszínű egyedek is megtalálhatóak.											
Magiszák	Asperugo procumbens	kunkor	lándzsás	ép	ülő	5 tagú	kék	szögletes				Az érdeslevelűek magyar nevüket a leveleket borító szőrök miatt kapták, latin nevük pedig a borágó (Borago) nevéből származik. Vékony szára heverő, méter hosszúra is megnőhet, érdes szőrök borítják, ezért kellemetlen tapintású, a ragadós galajhoz hasonlóan „ragaszkodik” az emberhez. Lándzsa alakú ép szélű levelei nyél nélküliek, a szárhoz hasonlóan érdesen szőrösek. A virágok igen aprók, alig észrevehetőek, kék vagy lila színűek, és a családra jellemző módon kunkor alakú virágzatban nyílnak. Termése makkocska. Április-júniusban virágzik kertekben is találkozhatunk vele, de művelt területeken, utak szélén is előfordul.											
Magyar bogáncs	Carduus collinus	magányos	hasogatott	ép	ülő	fészek	bíbor	hengeres				A bogáncsok általában rétek, legelők fajai, éppen ezért szúrós töviseket viselnek leveleiken, így védve magukat a táplálkozó állatoktól. Fél-egy méter magasra megnő. Nemcsak levelei és fészekpikkelyei, de szára is szúrós. A levelek lándzsás vagy tojásdad kerületűek, esetleg hasogatottak, szélük rövid, merev, szúrós tövisekben végződik. A levél fonáka (hátulja) molyhos. Bíbor színű fészekvirágzatai magányosan vagy négy-ötösével nyílnak. Kis méretű virága és rövid tövisei alapján el lehet különíteni a hasonló fajoktól. Védett, eszmei értéke 5000 forint. Bokorerdők, nyílt rétek, gyepek nyári virága. Termése kaszat.											
Magyar csenkesz	Festuca vaginata	buga	szálas	ép	tőálló	redukált	fehér	hengeres				Homokos területek, puszták bennszülött, endemikus faja. Homoki csenkesznek is nevezik. Szálas, alig mm széles, szinte tűszerű levelei sűrű, tömött csomókat alkotnak. Az egész növény hamvas szürke színű. A levélszéle begöngyöltek, így a letépett levél keresztmetszete félkör vagy U alakú. Ha a kezünket a levélen végighúzzuk, nem érdes a tapintása. Virágai bugában nyílnak, május-június hónapban. Szemtermése van.											
Magyar kőhúr	Minuartia frutescens	magányos	ár	ép	ülő	5 tagú	fehér	hengeres				A szegfűfélékhez tartozó kőhúrok között több sziklai növény van. Egyszerű fehér virágaikkal és leveleikkel nagyon hasonlítanak egymáshoz, de a magyar kőhúr könnyen elkülöníthető, mert az egyetlen faj, aminek töve fásodik. Alacsony termetű, párnás növekedésű sziklai évelő. Töve fásodik. Levelei ár alakúak, vagy szálasak, keresztben átellenesek (mint minden szegfűféle), körbeölelik a szárat. A tövénél a szárleveleknél keskenyebb, fűszerű levélékék is nőnek. A virágok a 10-15 cm magas, karcsú szár végén több virág is nyílik, de mind magányosan. Öt fehér, keskeny szirom alkotja őket. A csészelevelek majdnem olyan hosszúak, mint a szirmok, hegyes végűek. A porzók vége halványlila. Termése tok. Sziklafalakon, sziklarepedésekben virágzik májusban, fehér virágszőnyeget alkotva. Védett, eszmei értéke 5000 forint.											
Magyar lednek	Lathyrus pannonica	fürt	szárnyalt	ép	nyeles	pillangós	sárga	szögletes				Hazánkban számos lednek faj fordul elő, virágaik lilák, rózsaszínűek, fehérek vagy sárgák. Több védett faj is él Nálunk, ezek közül egyik a magyar lednek, melynek eszmei értéke 5000 forint. Vékony, szögletes szára felemelkedik vagy félig heverő. A levelek párosan szárnyaltak, kapaszkodó kacs helyett hegyes szálkában végződnek. A levélkék szálasak vagy lándzsa alakúak, hamvasan kékes-zöldek, hegyes csúcsúak, ép szélűek, kissé merevek. Számuk hat-tíz. A halványsárga, majdnem fehér virágok 4-10 tagú fürtökben nyílnak, hosszú, kinyúló kocsányokon. Termése hüvely. Májusban virágzik tölgyesekben, erdei tisztásokon, napos foltokban.											
Magyar lednek collinus alfaj	Lathyrus pannonicus subsp. collinus	fürt	szárnyalt	ép	nyeles	pillangós	sárga	szögletes				Hazánkban számos lednek faj fordul elő, virágaik lilák, rózsaszínűek, fehérek vagy sárgák. Több védett faj is él Nálunk, ezek közül egyik a magyar lednek, melynek eszmei értéke 5000 forint. A magyar lednek egyik alfaja. Tölgyesek, karsztbokorerdők, pusztai rétek, száraz élőhelyek faja. A csészelevelek cimpái majdnem, a hüvely termések teljesen kopaszok. A sárga színű virágok megbarnulnak elvirágzáskor.											
Magyar nőszirom	Iris aphylla subsp. hungarica	magányos	kard	ép	tőálló	6 tagú	kék	hengeres				Hazánkban több, összesen nyolc nőszirom faj él, ezek közül hét védett, egyedül a mocsári nőszirom nem élvez védelmet. A magyar nőszirom fokozottan védett endemikus faj, eszmei értéke 50 000 forint. Közepes termetű, felálló, hengeres szárú nősziromfaj. A szár nem ágazik el, csak a virágokat tartó kocsányok miatt tűnhet úgy. A lapos, széles levelek ép szélűek, kard alakúak, oldalra elhajlóak lehetnek, nagyjából megegyeznek a szár hosszával. A virágok lila színűek, egy száron kettő-négy bimbó található, melyek közül egyszerre csak egy virágzik, csupán egy-két napig. Miután elvirított, nyílik a következő bimbó. A virágok – az egyszikűekre jellemzően-hat tagúak. A három belső lepellevél összehajló, a három ezek közül csüng ki, a tövén „szakáll” látható. Termése hat rekeszre osztott tok. Nyár elején, májusban virágzik nyílt, napos réteken, sziklagyepeken. A magyar nőszirommal a húsz forintos érmén is találkozhatunk.											
Magyar repcsény	Erysimum odoratum	fürt	lándzsás	fogas	ülő	4 tagú	sárga	hengeres				A keresztesvirágúak családjába tartozó repcsény fajok általában hegyvidéki fajok, közülük sok védelem alatt áll. A magyar repcsény bázikus talajokon, meszes alapkőzeten fordul elő. Hengeres, karcsú szára végig leveles. A levelek lándzsa alakúak, finoman molyhosak, szélük fogazott, elsősorban ez különbözteti meg a szikla repcsénytől, melynek levélszéle ép. A szár csúcsán végálló fürtben nyílnak a sárga, négy tagú virágok. Termése kb. öt cm hosszú, keskeny becő. Hazánkban viszonylag sok helyen fordul elő, hegyvidékeken ( Zemplén, Bükk, Mátra, Pilis, Bakony, Mecsek, stb. ). Védett faj, eszmei értéke 5000 forint.											
Magyar sóvirág	Limonium gmelini ssp. hungaricum	sátorozó	visszás tojásdad	ép	tőálló	5 tagú	levendula	szögletes				Szárazvirág-kötészetben és kiskertekben telt virágú, fehér, sárga, rózsaszín, lila színű változatait alkalmazzák. Szárazságtűrő, nem igényel sok gondozást. Szára többszörösen elágazó, terjedelmes. Levelei kizárólag tőállóak, tojásdadok, ép szélűek, vastagok bőrneműek. Élőhelyén szüksége is van erre a védelemre, hogy a párologtatás csökkentésével kisebb legyen a vízveszteség- a szikes pusztákon, nyáron ugyanis bajosan tudná pótolni. Virágzata többszörösen összetett, a füzér virágzatok bugákba rendeződnek. A csészelevelek halványlilák, az öt tagú virágok lilák vagy kékek. Termése tok. Hazánkban a védett szikes területeken fordul elő, ahol gyakori: nyár végén, ősszel lilára festi a pusztát.											
Magyar szegfű	Dianthus pontederae	bog	szálas	ép	ülő	5 tagú	rózsaszín	hengeres				A szegfűfélék állítólag illatuk miatt kapták nevüket, mert az a szegfűszegére emlékeztet. Virágaik nemcsak finom illatúak, hanem gyönyörű színekben pompáznak, fehértől a sötét bíbor rózsaszínig. Karcsú, vékony szárú évelő. A leveleknél a száron csomószerű magvastagodások, bütykök láthatóak ( a fűfélék szalmaszárához hasonlóan). Levelei keskenyek, lándzsa alakúak, ép szélűek, a családra jellemző módon keresztben átellenes állásúak. A virágok nem egyesével nyílnak, hanem bogot alkotnak, sötét rózsaszínűek, egyszínűek, nem látható rajtuk mintázat. Termése négy kis foggal nyíló tok, mely apró fekete magokat rejt. Száraz gyepek, rétek július-augusztusi virága.											
